UUID,background_key_words
b69e68b0-00fb-45e8-b42f-f221f16dfff3,"45CNN/AICS,45JNN/AICS,46NN/AICS,C,C++,C++Kevin,CSS,Canvas,Computer,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenCSE,Go,HTML,Java,JavaScript,Linux,PC,Python,SQL,TA,TA2022-fallCSE,TA2022-winter,Windows,engineer,engineering"
963edbb8-d2e3-4210-abb2-fb01cf3327a6,"20Computers,6BYAICS,6DYAICS,6NYAHCS,C,C++,C-like,C.,CAS,Course,CourseTakenGradeICS,Java,Linux,MySQL,Node.js,Python,SQL,Ubuntu,Windows,tutor,tutoring"
a786ab42-9576-4f68-9595-513e541a8ec5,"101Concepts,BRAC,C++,C.,COVID-19,CS106A,Code,Computer,Contest,Contractual,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenINF,Currently,GangulyTA2023-winterINF,ICSE,Java,JavaKishan,KabirTA2022-summerICS,Linux,Muheymin-Us-SakibTA2023-winter,Muheymin-Us-SakibTA2023-winterICS,MySQL,Python,Windows,developer,engineering,international,publication,thesis"
707da57c-192b-4a60-99d1-77381a1732ef,"12Y4.0EECS,148COMPUTER,40Y4.0EECS,C,C++,Computer,Course,CourseTakenGradeEECS,CourseTitleInstructorPositionWhenEECS,Django,Flask,Java,JavaScript,Linux,Python,SQL,Windows"
51dc2706-962c-42e4-ac3d-1a7dd93e9f62,"122BYCS,141YCS,143AYCS,AWS,Android,C++,Certification,Certified,Cloud,CloudWatch,Computer,Computing,Course,CourseTakenGradeCS,EC2,Google,Java,Oracle,Python,React,SQL,Unix"
895f5b53-5426-4ceb-8372-9dac548a0c0a,"C++/,Computer,Course,CourseTakenGradeINF,Java,Linux,Python,SQL,Windows/"
00bf13dd-9e7f-43ed-a21e-7a224391a67a,"139WCritical,139WNICS,6BNICS,6DNICS,C,C++,Computer,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,Currently,DenenbergTA2022-fall,DenenbergTA2022-springICS,HayesTA2022-winterICS,ICS,Linux,MATLAB,MacOS,Python,SQL,TA,TAs,TOEP/English,Windows,YoungTA2021-fallICS"
01957905-4468-4b49-9eae-1c6d69cb2c75,"//www.section.io/engineering-education/authors/adith-bharadwaj/,129YA+ICS,AWS,Ansible,C++,C/C++,CI/CD,Cisco,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,DynamoDB,Fedora,GarettTA2023-winterINF,Golang,HoekTA2023-spring,Java,Linux,MySQL,Python,SQL,Ubuntu,developer,intern,interpersonal/communication,problem-solving"
3c54980b-7018-4747-9ced-eed269caffce,"032NICS,045CN,139WICS,139WNICS,BietzTA2022-fallGDIM,C/C++,CUDA,Computing,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,Critical,DenenbergTA2023-spring,Linux,Python,SquireTA2023-winterICS,Windows"
b5e9c4e1-08d1-443d-98a7-86fe610af080,"230YACS,274DYACS,C++,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,HTML/CSS,MongoDB,Perl,Python,React,SQL,StrzhelestkaReader2020-fallCS,StrzhelestkaReader2021-fallCS,StrzhelestkaReader2021-winterCS"
8e83aec5-1c00-40ad-9938-f098561e15d2,"031NCS,116Computational,178YA-CS,273AYA-ICS,C++,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,FowlkesTA2021-winterCS,HarrisTA2022-summerCS,Java,Linux,MATLAB,MacOS,MandtTA2021-springICS,Python,SQL,SmythTA2022-fall,VisionCharless,Windows"
ce8f36d6-19f2-468d-b976-110204585e61,"ArmstrongReader2020-fallSTAT,ArmstrongTA2021-fallSTAT,ArmstrongTA2021-summer,BIOSTATS,C++,Course,CourseTakenGradeSTAT,CourseTitleInstructorPositionWhenSTAT,MCMC,N-STAT,SECA,SECC,SQL,STAT/CSDavid,STATS,STATSDave,ShenReader2020-winterSTAT,tutoring"
55748ae5-8311-4b25-a2c2-4b18ee9f10c5,"120AYBICS,6NYASTAT,7YASTAT,C++,C.,Course,CourseTakenGradeICS,Linux,MATLAB,Windows,tutor"
1f9675b9-a15b-4040-bf17-388ef2fb845a,"220PN0.0CS,253PN0.0CS,271PN0.0CS,ACID,Class,Common-Table,Course,CourseTakenGradeCS,SQL,leadership"
153169dd-afe3-43b9-8222-a31442b38792,"43YICS,45CYSTAT,C,C++,Course,CourseTakenGradeINF,Docker,EECS,Linux,MongoDB,Python,SQL,Windows,internship"
9c4db755-a53e-414c-bb01-b2ee86f86214,"101N0.0ICS,32AN0.0ICS,C,C++,CSS,Computer,Course,CourseTakenGradeCS,DNS,Django,Git,HTML,HTTP,Java,JavaScript,Linux,Linux-based,MongoDB,NoSQL,Node.js,PostgreSQL,Python,React,React.js,SQL,TCP/IP,Windows"
8093b051-6a8f-4550-9680-ab272799cb5e,"101Computer,132YA-CS,147YA+ICS,151YBCS,BanerjeeTA2018-fall,C,C/C++,Chip,Code,Compiler,Composer,Computer,Computing,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,Cypress,Git,HTML,JIRA,Linux,MATLAB,PSoC,Python,RISC-V/ARM,Verilog,Windows"
d6187189-4889-46e0-ab9e-9f912655da9c,"C,C++,Control,Course,CourseTitleInstructorPositionWhenMSWE,ICS,Linux,MartinsTA2022-fallICS,MartinsTA2022-fallMSWE,MartinsTA2023-spring,MartinsTA2023-winterINF,MySQL,NoSQL,OpenCV,TA,TensorFlow"
f8546b01-215e-4f10-8b8b-1e1c7c0df462,"139WCritical,139WYTASTAT,143AYTACS,238POPERATING,256YAICS,AlfaroTA2022-springCS,Android,BicTA2021-fallCS,BicTA2022-winterICS,C,C/C++,Communications,Computer,Computing,Coral,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,Google,HTML/CSS,Java,Linux,MacOS,Microcontrollers,PHP,PostgreSQL,Python,SQL,Ubuntu,VHDL,VenkatasubramanianTA2022-fall,Windows,communication,conference,journal,publication-ready"
bf228fbf-113b-489e-92f3-84835ae3e747,"110NSTAT,67NSTAT,BaldiReader2021-fallSTAT,BaldiTA2022-fallSTAT,C,Course,CourseTakenGradeSTAT,CourseTitleInstructorPositionWhenSTAT,Good,GulesserianTA2023-spring,Java,KuceraTA2023-winterSTAT,Linux,Python,SQL,Windows"
537f3abf-f036-4507-9b90-72f069b94639,"166Capstone,Course,CourseTakenGradeGDIM,CourseTitleInstructorPositionWhenICS,DesignCraig,FundamentalsConstance,MorrisonTA2021-springGDIM,SteinkuehlerTA2022-fallGDIM,TanenbaumTA2021-winterICS,TrammellTA2023-winter"
e304937a-7227-4ec6-9289-cc85fb6d1b45,"41YAICS,C++,CS,Code,ComputingRoderic,Course,CourseTakenGradeGDIM,CourseTitleInstructorPositionWhenINF,CrooksTA2021-fallGDIM,ICS,Java,OTA2022-summer,SocietyConstance,SteinkuehlerTA2022-springGDIM,TA,TrammellTA2022-winterGDIM,UCI,Windows"
c7950047-14c3-4c73-8af7-f1c366a2aac1,"6NSTAT,7NSTAT,8NSTAT,C++,Course,CourseTakenGradeSTAT,Python,Windows"
e47868d8-d7a1-4b4d-9f56-efa1291b4bb6,"139WCritical,139WNICS,31NICS,32NICS,AlfaroTA2022-fallICS,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,IbrahimTA2023-springICS,IbrahimTA2023-summer,IbrahimTA2023-winterICS,Linux,Python,Windows"
65bc76c3-5891-48aa-9a21-934c061b197c,"132Computer,139WCritical,139WNCS,296PCAPSTONE,296PNICS,COMMNils,CS,CS132,Communications,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,Critical,ICS139W,LevoratoTA2022-winterCS,LevoratoTA2023-winter,RandrupTA2022-springICS,TA,TAing,YoungTA2022-fallCS"
73b16fd2-b54c-46bb-9ba9-0ff17e322f4d,"110YA+STAT,67YA+STAT,6YA+STAT,C++,Course,CourseTakenGradeSTAT,CourseTitleInstructorPositionWhenSTAT,SQL,STATGulesserian,Windows"
9c5de6a1-2465-4145-bae1-a1e42dda13a8,"141NCS,161NCS,171NCS,Angular,C/C++,CSS,Computing,Course,CourseTakenGradeCS,Django,Git,HTML,Java,JavaScript,Linux,PostgreSQL,Python,React,SQL,Vue,Windows,internship"
71e792c3-5542-4478-9104-3d5ebc6a373e,"132COMPUTER,132NCS,232NICS,32ANICS,45CProgramming,C++,C/C++,CS132,CS230,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,ICDE'19,ICS45C,JordanTA2020-fallCS,Python,RA,TA,TMC,ThorntonTA2021-spring,UCI,Ubuntu,VenkatasubramaniamTA2021-winterICS"
51bc6669-f6b0-475d-9ed0-8a8f79dfe0f7,"31NICS,33NICS,45CNCS,C,C++,Course,CourseTakenGradeICS,FRC,Java,MongoDB,PwC,Python,UCSB,Windows,tutoring"
bee5c96d-8d89-4cff-ac92-5849bf5e44a5,"7NSTAT,Azure,C,C++,Cloud,Computer,Computing,Course,CourseTakenGradeSTAT,Cryptography,Docker,Flask,Java,Kubernetes,Linux,PostgreSQL,Python,SQL,Windows,engineer"
5b5a9b08-c31d-41c6-b5fa-6f2f3df0c0d5,"232YCS,C,C++,Course,CourseTakenGradeCS,Linux-based"
ad0ad1e8-3c5d-4236-90cd-b7c934a1e0bc,"132NCS,134NCS,147NCS,Android,C,C++,Course,CourseTakenGradeCS,Java,Linux"
bbab5221-3712-48fd-bb3d-0ce6772dfaa7,"C++,C/C++,COVID-19,Cloud,Computer,Course,CourseTakenGradeSWE,CourseTitleInstructorPositionWhenCS,Java,Kotlin,Linux,LipskochTA2020-springCS,Python,SQL,SchönwälderTA2019-fall,Swift,UCI,Windows,ZaspelTA2020-springICS,internship"
60e84629-85a1-4aad-8f42-c951f3fb6d0f,"31NICS,45CN,46NICS,6DNICS,C++,C/C++,CS,China,Course,CourseTakenGradeICS,EECS,Java,Linux,PyTorch,Python,SQL,UCI"
edb74997-67d6-434b-ab27-f78874452e55,"122BNACS,132Computer,147NA+CS,151NACS,6010Computer,C,C++,CS,CS3210,CS3220,CS3300,CS4400,CSE6010,Cherry,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,ECE6132,FPGA,Fedora,Java,LevoratoTA2022-winter,Linux,MySQL,Python,RISC-V,TA,TA2020-fallCS,TA2021-springCSE,UCI,VHDL,Verilog,Windows,engineering,synthesis"
a2403f49-0b3b-4de0-8376-cdd2ade72287,"113Computer,43Y87ICS,BangTA2022-winterSWE,C,C++,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenCS,Django,GarciaTA2022-springICS,HTML,Java,Javascript,Linux,MySQL,NashTA2022-fall,Python,SQL,Windows,engineering"
90961571-0b2f-4b3c-9ba2-249a87d9780f,"112NCS,134NCS,141NCS,C++,Course,CourseTakenGradeCS,Java,Windows"
45aa71e9-bb54-44b5-acac-2b6783834b64,"Android,C,C++,Concurrency,Course,CourseTakenGradeSWE,Java,Kotlin,Linux"
9c6e9fd7-adf2-4d5d-ac30-58ea0a1266c2,"51YAICS,C++,C/C++,Compilers,Course,CourseTakenGradeICS,Java,Linux,Python"
d8d56212-94b6-4690-985f-353aceb2ebb7,"Course,Python,SQL,Windows"
12dcca66-a6a2-403e-a644-13189c73bc84,"121YAICS,51YACS,6NCOMP,6NNACS,ALGEBRAGopi,COMPUTER,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,EliTA2023-springCS,MeenakshisundaramTA2022-fallICS,Python,Windows"
f8a5c6db-87e9-4236-a372-7cfff2d0aaa8,"161NICS,BhattacharyaTA2022-fallINF,C,C++,Computing,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenCS,GS108/STATS,MATLAB,NavarroTA2023-spring,NavarroTA2023-winterINF,Python,SQL"
afd241e0-22f6-4421-9b09-6d8c05886126,"31NICS,45CN,51NICS,53NICS,C,C++,Computer,Computing,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,DoemerTA2017-fallCS,Java,NicolauTA2023-springICS,TA,Unix,VHDL,Windows,Wong-MaTA2021-springEECS"
7044cde8-db3b-4b9f-880b-52c552bc49d2,"3NICS,5NICS,9NICS,Android,C,CSS,Colab,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenMSWE244PAlberto,Django,GardnerTA2023-springMHCIDIN4MATX,Google,HTML,Java,JavaScript,Linux,MongoDB,Node.js,PattersonTA2023-winter,PyTorch,Python,TA2022-fallICS,TA2022-fallMSWE246PAlberto,TensorFlow"
e5b66bfd-6761-4ce2-b0f1-ab3888316cfa,"143AYICS,31YICS,46YICS,ARINC,C,C++,C.,CSV,Circuit,Collins,Communication,Computer,Cortex,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenINF,Currently,Curriculum,FCC,FPGA,Java,Linux,Microcontroller,MoshirpourTA2023-spring,MoshirpourTA2023-winterICS,Oracle,Python,SQL,TA,Ubuntu,VHDL,Windows"
17192287-9fce-4ed4-b96b-6219a420eef6,"161YACS,162YAICS,171YNACS,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,Java,KaskTA2021-fallCS,KaskTA2021-spring"
07428e5a-a474-4ccb-b5b5-cbac620a4a85,"45CIntroduction,45CYSCS,45JYSICS,C,C++,C++Ray,CS,CSE,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenCS,Java,KlefstadTA2023-spring,Linux,MehrotraTA2022-fallCS,MongoDB,NOSQL,Python,SQL,SaniTA2023-winterICS,UCI,Windows,gRPC"
85306182-c29e-41ff-b9a7-99e1bc96f46d,"122BY9ICS,143AY9CS,45CY10CS,AWS,Android,C,C.,Challenge,Cloud,Coming,Computer,Convolutional,Course,CourseTakenGradeCS,Django,Docker,English,Flask,GCP,Golang,Google,Java,Kubernetes,Linux,MacOS,MySQL,OpenCV,PostgreSQL,Python,SQL,Ubuntu,Windows,communication,manager,tutored"
1e68b5a0-1d17-4337-a550-56ccf6617534,"171NCS,178NICS,184ANCS,AngularJS,C,C++,Computer,Course,CourseTakenGradeCS,Java,Linux,MongoDB,MySQL,PyTorch,Python,ReactJS,Windows,conference,internship"
c0483567-dad5-4729-8977-5a1e619a8c3e,"161NICS,178NCS,21974/2022-CO/L,46NCS,Blender,C,Computer,Copyright,Course,CourseTakenGradeCS,CyINSAT,Cyclone,Government,HTML,ICICV,JavaScript,Linux,MongoDB,MySQL,PyTorch,Python,ROC,Windows,conference,internship"
c7d9fb6d-7c2a-418d-80f4-c61017132fc5,"141NICS,147NCS,151NCS,C,C++,Course,CourseTakenGradeCS,Linux,MATLAB,Python,VHDL,Windows"
9dd548cd-2334-429e-a3c7-87207bc8447a,"46DATA,BlaserTA2019-springCS,C,C++,C/C++,CS142A,CS162,Compilers,Compilers/Interpreters,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,ICS,Java,Linux,MacOS,Python,STRC,ShindlerTA2020-fallICS,ShindlerTA2020-springICS,ShindlerTA2021-winter,TA,Unix,Windows"
34d4a1e6-00b6-49b6-9de3-b7549ce3f6dc,"122ANCS,122BNCS,171NCS,C++,CRUD,Course,CourseTakenGradeCS,Git,JDBC,Java,MVC,MongoDB,MySQL,SQL,Ubuntu/Linux,engineering"
63dde017-9784-4302-be8a-1bccbab81ebf,"164ChildrenRebecca,289HCID,BlackTA2022-fall,ComputingKylie,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,OlsonTA2023-springINF,OlsonTA2023-winterINF,PepplerTA2022-winterINF"
a9dd6570-9b6a-4d0b-afd5-bce9161b558a,"122AY3.9ICS,6BY3.8CS,C/C++,CSE,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCSE,HsiaTA2021-fall,Java,JavaScript,Linux,McGahaTA2021-springCSE,Python,SQL,TA,Windows"
82ee2121-0174-40c0-93c7-62da6991b58b,"273AYICS,273MACHINE,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,ICS,ITA2021-winterCS,ITA2022-summer,Java,MANDTTA2020-fallICS,PRINCP,PTA2023-springICS,Python,TA,UCI,Unix,VHDL,Windows"
c2ea3567-6b05-464b-b4e9-5daea8cbf9e2,"220PY4.0CS,253PY4.0CS,260PY4.0CS,C++,COVID-19,CSS,Coders,Community,Course,CourseTakenGradeCS,Goldman,HTML,Java,Linux,MOOC,MongoDB,ReactJS,SQL,TA,Ubuntu,Windows,developer,internship,tutor"
91a267a7-4fe6-40b8-bba1-794cc965071d,"Cloud,Coding,College,Computer,Computing,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,HoekTA2023-spring,Java,Linux,MacOS,NavarroTA2022-winterSWE,PSQL,Python,SQL,TA,VMware,ZivTA2022-fallINF"
67676d19-e743-414d-8eec-210867fb1b7e,"132Computer,31ANICS,31NICS,32NICS,BaldwinTA2020-fallEECS,C++,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenCS,EECS,ICS,KAVIANPOURTA2019-fall,LiTA2023-springEECS,Python,TA,TsengTA2023-winterICS,UCI,VHDL,Windows"
deb352a5-b649-43ba-b1d7-f6fee9fcfe98,"142ACompilers,142ANCS,242PCompilersFranzTA2023-winterCS,45CNICS,46NCS,C,C++,Compilers,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,InterpretersDemskyTA2020-springCS,ProjectsKlefstadTA2022-spring,Rust,StructuresShindlerTA2022-fallCS,Verilog"
be78f354-6f41-45c5-8a89-1719205803ac,"45CPROGRAM,45CY,45JYAICS,4YAICS,6NYAICS,C,C/C++,CS,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenCS,Covid,DATA,FTA2023-spring,Java,KLEFSTAD,Linux,MGMTMEHROTRA,RTA2022-winterCS,S.TA2022-fallICS,SQL,TA,Windows"
bcd29e4b-c2a2-4494-acce-779430c63b06,"C++,CSS,College,Course,CourseTakenGradeSWE,CourseTitleInstructorPositionWhenINF,French,GillespieTA2021-fallSWE,HTML,Java,TA,TA2022-fall,TA2022-fallSWE,UCI,engineering,tutor,tutoring"
5ad9a8ad-653c-43ef-a8d3-5e66161294ac,"Course,CourseTakenGradeINF,HCI,Windows"
994fbd70-ca7f-4c84-ab1e-9dde08e6f6e1,"120CIntro,67NSTAT,7NSTAT,8NSTAT,ArmstrongTA2021-fallSTAT,BaldiTA2022-winterSTAT,C,C++,Course,CourseTakenGradeSTAT,CourseTitleInstructorPositionWhenSTAT,GulesserianTA2022-springSTAT,Java,KuceraTA2023-winter,Linux,STAT/CS,TA,VHDL,Windows"
5a70f3ac-0185-4e8c-8c58-83e7cd8346c9,"BaldwinTA2023-summer,Centered,Computer,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,HCI,HCIDMark,Java,LeshedTA2020-fallINF,LeshedTA2021-springINF,MurrayTA2022-fallINF,SQL,TA'ed"
47e3603e-fa77-4ae2-81c2-ac1f83a19bff,"43YAICS,46YA-ICS,C++,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenSWE,JonesTA2022-fall,JonesTA2023-springINF,JonesTA2023-winterINF,SQL,TA,engineerinJim,engineering"
47e27769-aaaf-4349-bf93-1ac0917926d1,"171NCS,178NCS,271YACS,C++,Course,CourseTakenGradeCS,Python,TA,Windows"
fd785cea-fbe1-4fed-872b-c5e9ffa21fac,"BranhamTA2022-fallICS,BranhamTA2023-spring,C,C++,College,Computer,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,Current,HCI,HCIDr,ICS,Java,MartinsTA2023-winterINF,Python,SQL,TA,VHDL"
91599e39-5d3b-42e3-968c-1519da427bf5,"43NICS,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenECON,ICS,MacOS,UCI,Windows"
328d083b-46d0-4738-a132-2db7692dd6ce,"Course,CourseTitleInstructorPositionWhenSTAT,Linux,MATLAB,Python,Windows"
e4361764-324c-410a-9a7d-aa4081906ebe,"134Computer,45CNCS,45CProgramming,AppliKLEFSTADTA2022-spring,C++,C/C++,ChenReader2021-fallICS,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenCS,Good,Java,LangKLEFSTADTA2022-winterCS,Linux,Windows"
64785ab8-4054-4851-a535-9d268938577c,"116Computational,131NCS,141YACS,143AYAICS,ARCore,C,C++,C/C++,C/C++/C,CS,Computer,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenCS,ICS,Java,KlefstadTA2023-winterCS,MajumderTA2021-fallICS,OpenCV,Python,SQL,TA2022-winterCS,ThorntonTA2023-spring,Unix,VHDL,VisionCharless,Windows,internship"
380b47cd-4f04-4447-8c7e-f8c6400d1e75,"ChenTA2022-fall,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,NICS,Python,UCI,YICS"
da77afbd-45f1-4a87-ae19-e3961ea34edc,"Course,TAd,UC,internship"
06b766ff-23fa-461e-b18b-67d07357acf3,"122ANCS,132NCS,171NCS,Course,CourseTakenGradeCS,Cum,HTML,OpenCV,Python,SQL,TA,TensorFlow,UCI,Windows,engineer,internship,leadership,teamwork"
ba1975f5-0688-4f34-b0ce-b74dcab9bb13,"24N0.0CS,45CN0.0ICS,ACM,C,Course,CourseTakenGradeICS,Linux,PHP,RAIT-ACM,SQL,eKYC,engineering"
330c54e5-d258-4f96-b96e-b648eb0c0b41,"139WYAICS,141YACS,143AYAICS,C,C++,C/C++,Cassandra,Cloud,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,Docker,Golang,Java,Kubernetes,Linux,MATLAB,MartinsTA2023-spring,NoSQL,PostgreSQL,Python,SQL,VHDL,Verilog,Windows,engineer"
3bd88098-f527-487a-911b-ad2cee5e04d7,"//doi.org/10.1109/ICDSAAI55433.2022.10028895,171YOICS,32AYA+ICS,45JYA+CS,AICT,C,C++,Cardiovascular,Citigroup,Communication,Communications,Computer,Computing,Conference,Control,Course,CourseTakenGradeICS,English,Flask,Github,ICCCSP,ICDSAAI,JCL,Java,JavaScript,Linux,MATLAB,MTA,MySQL,PHP,PostgreSQL,PyTorch,Python,SELCOPY,SQL,SQLite,TA,Ubuntu,Windows,internship"
c6944d6e-a91e-48ea-a6e2-e6b042a178db,"253PYB+CS,260PYA+CS,266/164YAICS,45CYB,AlfaroTA2022-fallCS,C++,CS161,CS260P,Computer,Course,CourseTakenGradeCS,CourseTitleInstructorPositionWhenCS,DillencourtReader2020-fallCS,DillencourtReader2020-winterICS,ICS31,ICS45C,Java,Linux,Python,SQL,TA,Windows"
1ac760bd-011e-4c2b-b3b6-19061286d0b4,"C,C++,Cisco,Code,Computer,Computing,Course,CourseTakenGradeINF,CourseTitleInstructorPositionWhenINF,Google,Java,Linux,MongoDB,ReactJS,SQL,VHDL,Verilog,Windows,conference,engineer,international"
ae912dd8-7c8b-4605-9aa4-2d2e6aac30d3,"110YASTAT,111STATS,120AYASTAT,45C,67NSTAT,7BASIC,C++,Course,CourseTakenGradeSTAT,CourseTitleInstructorPositionWhenSTAT,DATA,GulesserianTA2022-fallSTAT,GulesserianTA2023-winterSTAT,ICS,KuceraTA2023-spring,Linux,MySQL,PyCharm,Python,SQL,STAT/CSKoko,STATISTICSLee,Windows"
8ad6ab32-1917-4bd7-880b-41a60445a1a8,"6NSTAT,7NSTAT,8NSTAT,COLLEGE,Course,CourseTakenGradeSTAT,STAT"
660fbb8b-1f67-4f5c-a967-158b3501d846,"131COMPUTER,139WCRITICAL,BranhamTA2020-winterICS,ChristensenTA2019-summerICS,College,Community,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,ICS,INTERACTIONStacy,NN/AICS,SOCIETYConstance,SteinkeuhlerTA2019-fallINF,SteinkeuhlerTA2020-spring,TA,UCI,USC"
9c145c59-88fa-4961-b814-9203039e9044,"122YCS,141YCS,143AYCS,C,C++,Compilers,Course,CourseTakenGradeCS,Java,Linux,Python,SQL,Windows,developer,engineer"
dd4e5d61-55ab-4a24-b38d-ff681b8f291d,"122AYA+CS,31YAICS,51YACS,C++,CS,Computer,Course,CourseTakenGradeICS,CourseTitleInstructorPositionWhenICS,Cyber,Java,Linux,Python,SQL,TA,TA2020-fall,TAs,Windows,internship,tutorial"
7aeb89ec-20d5-4321-b498-18e55167997b,"C,Course,CourseTakenGradeSWE,Java,MacOS,MySQL,PostgreSQL,Python,SQL,Windows"
