UUID,Area of Expertise,Programming,Past Experience,Course Prefs
b69e68b0-00fb-45e8-b42f-f221f16dfff3,"I consider software development my area of expertise due to my qualifications in the computer science field. I graduated with a Bachelor of Science in Computer Science in 3.5 years and then acquired a software engineering role at Visa Inc. where I learned much about not only real-life computer science applications but also important necessary skills outside of the scope of coding needed to be a true software engineer in the field. In addition, as an undergrad, I was a teaching assistant and grader for a Principles of C++ class. During my tenure with the position, in my second semester, the professor I was working under had health complications that removed him from all teaching capabilities entirely, which thereafter the graduate TA and I assumed teaching roles of the class for the rest of the semester. From that experience, I learned how to handle a class of 83 students including teaching material, updating online Canvas materials, prepping for examinations, holding office hours, grading, and updating grades online.","I have considerable experience with Java, C, and C++ and have actively used all three languages since high school. In addition, I also have experience with SQL through my time as a Software Engineer at Visa. I have long-standing relationships with the Windows and macOS operating systems, and a dual boot running on my PC where I have learned Kali Linux. Other notable language skills I possess are Python, Go, JavaScript, MIPS, HTML, and CSS.",CourseTitleInstructorPositionWhenCSE 100 Principles of Programming with C++Kevin Burger TA2022-fallCSE 100 Principles of Programming with C++Kevin Burger TA2022-winter,CourseTakenGradeICS 45CNN/AICS 45JNN/AICS 46NN/AICS 32ANN/A
963edbb8-d2e3-4210-abb2-fb01cf3327a6,"I consider theory to be my area of expertise and interest, and I have some experience in this area. When I was an undergraduate, I worked with other students and faculty to investigate the quantum complexity of computing a certain invariant - the Khovanov homology - of mathematical objects called knots; the report we produced is available as a PDF here: https://wiki.illinois.edu/wiki/download/attachments/765765081/Detecting%20Knottedness%20with%20Quantum%20Computers%20Final%20Report.pdf  I have always enjoyed teaching and tutoring, and I am fortunate to have had several opportunities to hone my skills. For example, I have experience helping teach a discrete math for computer science class as an undergraduate course assistant. In this capacity, I helped guide students through challenging concepts and problems during class time (this was a ""flipped class""). I also held weekly office hours, both in-person and online. Additional background that I have includes being a math tutor at a community college, where I taught precalculus to students - including several students who were members of underrepresented communities. My experience teaching extends beyond theory: I had an opportunity to help teach a short, informal course introducing Java to middle school students.","Though I have had some experience with Windows in the past, my primary experience is with macOS (I use a MacBook as my personal computer) and Linux (I developed several kernel modules as a part of coursework). Moreover, I have experience with Ubuntu: I used an Ubuntu server to run open source Python library test suites large numbers of times while working on a project to understand flaky tests. (I also applied standard systems concepts, including multithreading, to decrease runtimes.)  I have a lot of experience with Java, C, C++, and SQL. In addition to coursework that required Java, C, C++, and SQL, I have worked on several projects that use the languages. For instance, one of my personal projects is a website that utilizes a standard stack composed of Node.js, Express, and MySQL. Furthermore, to help collect data for my complexity project (mentioned in the previous question), I, along with the other students, wrote C-like code using Pari, a CAS library based in C. This project also illustrates my operating systems knowledge: we ran our code on a supercomputing cluster and collected operating system data to better understand and address bottlenecks that were present.",,CourseTakenGradeICS 6BYAICS 6DYAICS 6NYAHCS 161YA-
a786ab42-9576-4f68-9595-513e541a8ec5,"I consider software engineering as my area of expertise since I completed my bachelor’s and master’s degrees in this field by securing the first position. Apart from building a solid theoretical foundation in software engineering, I also focused on  **Gaining real-life experience: I collaborated with Softcell Solution Ltd. and Glitra Bangladesh as a Requirement Analyst. I worked as a front-end developer for a startup firm called FoxAI, Bangladesh. **Research and publication: Till now, I have focused on exploring various software engineering research domains such as code smell and automated program repair and published around 10 articles. ** Participating in national and international competitions: In 2018, my friends and I were selected as semi-finalists in the Student Contest on Software Engineering at ICSE. Besides, I along with my classmates developed a project called the virtual trial room and got prizes in several project showcasing competitions.   I have selected teaching as a career since I am enthusiastic about it. After completing my master's degree, I began working as a full-time Lecturer at the Independent University, Bangladesh (IUB). I taught Fundamentals of Computer Systems and Data Structure for around 1 year. Due to the COVID-19 pandemic, all of these classes were held online.  Before joining IUB, I worked as a Contractual Lecturer at BRAC University where I taught the Artificial Intelligence course online. For the past 1.5 years, I have been working at the University of Dhaka, Bangladesh. I have been conducting classes of Structured Programming, Object Oriented Programming, Software Requirements Analysis and Web Technology courses in a hybrid manner (a combination of online and physical classes). In addition, I got selected as an instructor at Code In Place, an online course offered by Stanford University during the COVID-19 pandemic. My role was to teach Python programming to ten students from different countries using the materials from Stanford’s CS106A course.","** I developed an application for the Linux operating system to synchronize files across multiple computers. I implemented the project in Java and used the MySQL database to store user and file-related information.  ** I developed a cloud-based malware detection system for the Windows operating system. This project was also implemented in Java and Python and the MySQL database was used to store malware data.  ** As a part of my master's thesis, I developed two automated program repair approaches that could fix Java program bugs. ** Currently, I teach the Object Oriented Programming course at the University of Dhaka using Java. ** Currently, I teach the Structured Programming course at the University of Dhaka using C. ** I implemented a data structure in C++ that arranges data elements into buckets based on their hashing value and the ordering of the elements depends on various cache algorithms. ** At the Independent University, Bangladesh, I used to teach the Data Structure course using C++. ** I taught Python programming while I was an instructor at Code In Place, offered by Stanford University during the COVID-19 pandemic.",CourseTitleInstructorPositionWhenINF 101Concepts in Programming LanguagesDr. Kazi Muheymin-Us-SakibTA2023-winterICS 45JProgramming in JavaKishan Kumar GangulyTA2023-winterINF 117Project in Software System DesignDr. Ahmedul KabirTA2022-summerICS 31Introduction to ProgrammingDr. Kazi Muheymin-Us-SakibTA2023-winter,CourseTakenGradeICS 31YA+INF 43YA+INF 101YA+INF 117YA+
707da57c-192b-4a60-99d1-77381a1732ef,"My area of expertise is application development and data structures. I am also proficient with algorithms. I have completed my Bachelor's in Computer Science from University of Mumbai, India. I have conducted an online python seminar with Computer Society of India, Mumbai. My area of expertise is Software Engineering, Artificial Intelligence, Machine Learning and Development in Python.","I have had Java, C, C++ and SQL as part of my curriculum and have also made several projects using the same. I have had 3-4 years experience with Linux and Mac OS and more than 10 years experience with Windows. I also have coded in other languages like Python, JavaScript and Dart, and have database experience with Firebase, Django, Flask and Node JS.","CourseTitleInstructorPositionWhenEECS 148COMPUTER NETWORKSLI, Z.Reader2023-spring",CourseTakenGradeEECS 12Y4.0EECS 40Y4.0EECS 118Y4.0BANA 273Y4.0
51dc2706-962c-42e4-ac3d-1a7dd93e9f62,"In Computer Science, I have experience working with Java, C++, Python, Unix, Shell scripting, SQL, and Oracle. I consider my expertise to be in Java, Android App Development, and Cloud Computing.","In Computer Science, I have experience working with Java, C++, Python, Unix, Shell scripting, SQL, and Oracle. I consider my expertise to be in Java, Android App Development, and Cloud Computing.  I built an EdTech and E-commerce Android App from scratch as a sponsored project by an EdTech startup during my undergrad. The app is currently published on Google Play Store and has 20,000+ users. I have deployed the backend for the Android App on AWS and worked on AWS EC2, RDS, SNS, Security Groups, and CloudWatch. I am also currently studying for the AWS Certified Developer - Associate Certification.  For my capstone project in undergrad, I worked on Python, NLP and Supervised ML Algorithms I'm also interested in web development and have done a couple of projects using React.",,CourseTakenGradeCS 122BYCS 141YCS 143AYCS 171Y
895f5b53-5426-4ceb-8372-9dac548a0c0a,"Area of expertise: Web Development , Data Structures and Algorithms Special Qualifications : 1) Bachelor of Technology in Computer Science and Engineering. 2) Published research paper on Statistical Analysis of Animal Adoption using R in International Journal of Innovative Technology and Exploring Engineering (IJITEE). 3) Worked as Senior Analyst at Deutsche Bank handling various web components.  Yes, I have online teaching experience. I have volunteered as a student and taught Python in the Online Faculty Development Program ( OFDP)",Experience with C++/ SQL is  6 years. Experience with Java is 4 years.  Experience with Windows/ Linux is 10+ years. Experience with macOS is 3+ years.,,CourseTakenGradeINF 115NINF 133NINF 141NINF 121N
00bf13dd-9e7f-43ed-a21e-7a224391a67a,"I obtained my B.S. (Hons) in Computer Engineering from Penn State in May 2020.  I have taken several writing and technical writing courses during my time at Penn State. I am also worked as a Teaching Assistant for ICS 139w under Dr. Neil Young during Fall 2021 and worked as a TA under Prof. Wayne Hayes for ICS 6B. Currently working under Prof. Dennenberg for ICS 139w. I was also an undergrad TA for Python based programming classes (ICS 31, ICS 32/32A, ICS 33 equivalent) for 4 semesters during my time at Penn State. I graded weekly assignments, held office hours (both in person and online), assisted graduate TAs and prof in conducting labs/discussions and additionally in few of the semesters I’ve stepped in to grade final projects to assist the professor if there were two many projects to grade in a shorter period of time (Final projects were usually graded by the Professor and Graduate TAs).   I have been waived off the TOEP/English proficiency requirements because I have obtained 4 year US degree (Undergrad Degree at Penn State) within the past few years.",Have 5 years of Python experience.  Working knowledge of C and C++.  Haven’t take SQL classes but used it briefly in one of my another class.  Have MATLAB experience while using it in my Computer Vision and Digital Image Processing class. I primarily use MacOS and have used Linux as a part of course needs. Have used Windows for my personal computer as well.,CourseTitleInstructorPositionWhenICS 139WCritical Writing on Information TecNeil YoungTA2021-fallICS 6BBoolean Algebra and LogicWayne HayesTA2022-winterICS 139WCritical Writing on Information TecDarren DenenbergTA2022-springICS 139WCritical Writing on Information TecDarren DenenbergTA2022-fall,CourseTakenGradeICS 139WNICS 6BNICS 6DNICS 31N
01957905-4468-4b49-9eae-1c6d69cb2c75,"My Area of expertise includes but isn't limited to, Back end, data and information systems, Fullstack development, Microservices, and System design with a focus on building large-scale distributed systems on the cloud. I am also proficient in Algorithms, Data structures, and problem-solving. I have over 3 years of experience in software development in companies like Amazon and Cisco. I have worked with Tech stacks ranging from Golang, Java, C++, and Python to AWS, Ansible, and CI/CD.   I discovered a passion for teaching when I began organizing workshops for incoming undergraduates on various core computer science concepts. These experiences helped me refine my understanding and learn essential skills associated with disseminating complex information faster for beginners to learn and I have grown to love mentoring young students. I have also published articles on platforms such as GeeksForGeeks.org(https://auth.geeksforgeeks.org/user/adith%20bharadwaj/articles) and section.io(https://www.section.io/engineering-education/authors/adith-bharadwaj/), exploring various topics such as data analytics, computer networks, operating systems, and storage. While researching these domains, I was exposed to the incredible innovations in computer science and their widespread implications on society, which fortified my aspirations to pursue a career in the field.","I have over 3 years of Professional experience with Java, C/C++, and DBMS including SQL, and NoSql. My primary operating systems are Linux(Ubuntu, Fedora), and macOS. I am proficient in Operating systems concepts and have professionally worked with cloud-based systems.   Having 3+ years of experience at companies like Amazon and Cisco, I have gained valuable experience in the field of software development. I have worked on building applications used by over 25 million people and with this experience I have gained skills and expertise in my field. At Amazon, I led a large-scale effort to migrate data from MySQL to DynamoDB (AWS) for a Microservice that handles user comments. My responsibilities included initial design for end-to-end migration, developing REST APIs, validating data, load testing, and implementing underlying logic for migration, which increased availability by 35% and reduced latency by 60%. During my time at Amazon, by mentoring interns and junior developers and interacting with a diverse team from various backgrounds, I recognized the importance of interpersonal/communication skills and learning to work outside my comfort zone.",CourseTitleInstructorPositionWhenINF 171Introduction to Health InformaticsRenee GarettTA2023-winterINF 121Software DesignAndre Van der HoekTA2023-spring,CourseTakenGradeINF 171YA+INF 121YA+GDIM 129YA+ICS 32AYA+
3c54980b-7018-4747-9ced-eed269caffce,1/2. GPGPU Computing 3. I do not have experience teaching online courses.,"1. I have experience in C/C++ and CUDA. I have been using both extensively over the past year and a half as part of my involvement in two research projects.   2. I am most experienced with macOS, and I have limited experience with both Linux and Windows.   3. I have experience with C/C++, CUDA, Python (Including Keras, Pandas, Scikit-learn, and Matplotlib), R",CourseTitleInstructorPositionWhenICS 139WICS 139W: Critical Writing Dr. Matthew BietzTA2022-fallGDIM 129Games For ImpactDr. Kurt SquireTA2023-winterICS 139WICS 139W: Critical WritingDr. Darren DenenbergTA2023-spring,CourseTakenGradeICS 032NICS 139WNICS 045CN
b5e9c4e1-08d1-443d-98a7-86fe610af080,My expertise in Computer Science is relating to algorithms and discrete structures as long as data science. I was a reader for a Discrete Structures course in my undergrad.,"I have 3 years of experience with C++ and a year of experience with SQL. Along with that, I have experience with all operating systems at an experienced level and am familiar with React, Python, MongoDB, Perl, and HTML/CSS.",CourseTitleInstructorPositionWhenCS 111Discrete StructuresElena StrzhelestkaReader2021-fallCS 111Discrete StructuresElena StrzhelestkaReader2020-fallCS 111Discrete StructuresElena StrzhelestkaReader2021-winterCS 111Discrete StructuresElena StrzhelestkaReader2021-spring,CourseTakenGradeCS 274DYACS 230YACS 237YA
8e83aec5-1c00-40ad-9938-f098561e15d2,Machine Learning Neural Networks and Deep Learning Natural Language Processing  Computer Vision Object Oriented Programming Data Analysis,Java - Advanced Python - Advanced MATLAB - Intermediate C++ - Intermediate SQL - Novice Linux - Advanced MacOS - Advanced  Windows - Intermediate,CourseTitleInstructorPositionWhenCS 116Computational Photography & VisionCharless FowlkesTA2021-winterCS 178Intro to Machine Learning Stephen MandtTA2021-springICS 31Intro to ProgrammingIan HarrisTA2022-summerCS 175Projects in AIPadhraic SmythTA2022-fall,CourseTakenGradeCS 178YA-CS 273AYA-ICS 031NCS 112N
